Nota,Nome Comum,Nome Botânico,Família Botânica,Principais Propriedades Terapêuticas,Principais Indicações,Contraindicação,Álcoois,Aldeídos,Cetonas,Ésteres,Fenóis,Óxidos,Terpenos,Lactonas,Cumarinas,Sesquiterpenos,Picture
Baixa,Alecrim,Rosmarinus Officinalis qt cânfora,Laminaceae,"Vasodilatador, descontracturante, miorrelaxante","Mialgia, Fibromialgia, Amenorréria, Menstruação dolorosa, adiposidades","Bebes, gestantes e lactantes, hipertensos",Álcoois 5%,,Cetonas 30%,,,Óxidos 30%,Terpenos 35%,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Rosemary_bush.jpg/1200px-Rosemary_bush.jpg
Alta,Bergamota,Citrus x bergamia,Rutaceae,"Calmante, relaxante, sedativo","Agitação, insônia, estresse, vitiligo",Fotossensibilizante,Álcoois,Aldeídos,,Ésteres 30%,,,Terpenos 60%,,Furanocumarinas,,https://modomaravilla.com/wp-content/uploads/2019/09/Bergamota-por-Modo-Maravilla.jpg
Baixa,Canela-da-china,Cinnamumum cassia,Lauraceae,"Tônico e estimulante geral, reenergizante, anti-infeccioso muito potente","Infecções bacterianas, viróticas, fúngicas e parasitárias, depressão nervosa","Crianças, gestantes e lactantes, cáustico",,Aldeídos 75% a 80%,,,Fenóis 5% a 6%,,,,Cumarinas 5% a 6%,,https://www.beneficiosdasplantas.com.br/wp-content/uploads/2017/04/canela-da-china.jpg
Alta,Capim Limão,Cymbopogon citratus e Cymbopogon flexuosos,Poaceae,"Estimulante digestivo, anti-inflamatório, calmante, relaxante, sedativo, analgésico","Inflamações de garganta, herpes, celulite, acne",Irritante da pele e mucosas,Álcoois 10%,Aldeídos 60% a 85%,Cetonas 5%,Ésteres 5%,,,,,,,https://www.oficinadeervas.com.br/imagem_texto/20130813_140516_capim-limao-4.jpg
Baixa,Cedro-do-Atlas,Cedrus atlantica,Pinaceae,"Flebotônico, linfotônico, descongestionante venoso e linfático, cicatrizante","Celulite, varizes, congestão circulatória, retenção hidrolipídica, úlceras varicosas, escaras","Grávidas, Lactantes e Pacientes oncológicos estrogenodependente",,,,,,,,,,Sesquiterpenos 100%,http://upload.wikimedia.org/wikipedia/commons/5/59/Cedrus_atlantica_glauca_(Rentilly).jpg
Baixa,Cipreste,Cupressus sempervirens,Cupressaceae,"Descongestionante venoso e prostático, antitussígeno","Varizes, hemorróidas, edema de MMII, perda de voz, tosse espasmódica",Pacientes oncológicos estrogenodependente,,,,,,,Terpenos 80%,,,Sesquiterpenos 5%,https://terradosaromas.files.wordpress.com/2013/06/cipreste.jpg
Alta,Citronela,Cymbopogon nardus,Poaceae,"Antiespasmódico, anti-inflamatório, Insetífugo, antibacteriano","Repelente de mosquitos, congestão e dores pélvicas, cólica espasmódica",NA se usado em doses de diluição segura,Álcoois 35%,Aldeídos 10% a 15%,,Ésteres 10%,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thu…/1280px-Mosquito_Plant_(Pelargonium_citrosum).jpg
Baixa,Cravo-da-índia,Eugenia caryophyllus,Myrtaceae,"Anti-infeccioso de largo espectro (vírus, bactérias, fungos, parasitas), anticandidiásico, anestesiante","Infecções dentárias, cistites, parasitoses cutâneas, nevralgias",Irritante da pele e mucosas,,,,Ésteres 20%,Fenóis 70% a 80%,,,,,Sesquiterpenos 6%,https://i.ytimg.com/vi/0t-TGd5u_8U/maxresdefault.jpg
Baixa,Copaíba,"Copaifera officinalis","Fabaceae","ação anti-inflamatória, cicatrizante, anti-séptica, antibacteriana, germicida, antitumoral, analgésica, diurético e expectorante","Antioxidante, antiviral","Tratamentos de pele (manchas, marcas de expressão), celulite, estrias, regula oleosidade da pele e couro cabeludo, dermatites, feridas, dores reumáticas, artrite, cistite, incontinência urinária, bronquites, asma, sinusite, rinite, canceres, stress, ansiedade","Gestantes, Lactantes, pessoas com problemas gástricos",,,,,,,,,"Sesquiterpenos Oxigenados e Hidrocarbonetos Sesquiterpenicos",https://cdn.iset.io/assets/35418/produtos/5267334/thumb_450-450-oleo-essencial-copaiba-phytoterapica.png
Média,Erva-Doce,Pimpinella Anisum,Apiaceae,"Galactogênico, antiespasmódico neuromuscular, antálgico e analgésico","Dores menstruais, dispneia, asma, bronquite, palpitações, amamentação",NA se usado em doses de diluição segura,,,,,Fenóis 90%,,,,,,https://www.pensenatural.com.br/wp-content/uploads/2018/01/oleo-de-erva-doce.jpg
Alta,Eucalipto-glóbulus,Eucalyptus globulus,Myrtaceae,"Anticatarral, expectorante, antisséptico, antivirótico","Bronquites, otites, sinusites, gripe, resfriados","Tóxico para tecido nervoso, não utilizar em bebês, gestantes, lactantes, pacientes com histórico de convulsão ou epilepsia",,,,,,Óxidos 75% a 85%,Terpenos 5% a 10%,,,Sesquiterpenos 10%,http://www.ciudadciencia.es/wp-content/uploads/2012/06/Eucalyptus-globulus.jpg
Baixa,Gengibre,Zingiber officinale,Zingiberaceae,"Tônico digestivo, estomáquico, laxativo, tônico sexual, afrodisíaco","Náuseas, inapetência, inchaços abdominais, constipação crônica, impotência masculina funcional",NA se usado em doses de diluição segura,,,,,,,Terpenos 20%,,,Sesquiterpenos 50%,http://www.quanutrition.com/nutritionalfacts/wp-co…loads/2016/03/ginger-boncalme-com-cort-davies.jpg
Média,Gerânio-bourbon,Pelargonium graveolens,Geraniaceae,"Antiespasmódico, antálgico, anti-hemorrágico, anti-inflamatório","Feridas, cortes, dermatites infecciosas, hemorróidas, colites",NA se usado em doses de diluição segura,Álcoois 60% a 65%,Aldeídos 10%,,Ésteres 20% a 30%,,,,,,,http://www.dezio.it/wp-content/uploads/2017/02/geranio-bourbon.jp
Alta,Hortelã-pimenta,Mentha x piperita,Laminaceae,"Antálgico, anestésico, antiácido, antináuseas, mucolítico, anti-inflamatório urinário e intestinal","Rinites, sinusites, herpes, urticária, indigestão","Bebês, Grávidas, Lactantes e Hipertensos",Álcoois 40% a 50%,,Cetonas 30% a 60%,Ésteres 5% a 10%,,Óxidos 5%,Terpenos 5% a 15%,,,,https://i.ytimg.com/vi/L7v5rlk99xE/maxresdefault.jpg
Alta,Laranja-doce,Citrus x sinensis,Rutaceae,"Calmante, tranquilizante, antisséptico atmosférico e de contato","Estresse, ansiedade, nervosismo, sensação peso na digestão, desinfecção",Fotossensibilizante,Álcoois 5%,Aldeídos 2%,,,,,Terpenos 80%,,Furanocumarinas 1% a 2%,,https://terra-flor.com/wp-content/uploads/2018/02/oleo-essencial-laranja_doce-4.jpg
Média,Lavanda,Lavandula angustifolia,Laminaceae,"Calmante, relaxante, sedativo, antálgico, anti-hipertensivo","Estresse, ansiedade, medos, angustia, insônia, asma nervosa, espasmos nervosos, queimaduras, escaras, dores inflamatórias",NA se usado em doses de diluição segura,Álcoois 35% a 50%,,,Ésteres 45% a 55%,,,Terpenos 5% ,,,,https://ecocosas.com/wp-content/uploads/2019/01/lavanda.jpg
Média,Lavandim,Lavandula intermedia,Laminaceae,"Antiespasmódico, descontracturante muscular, analgésico, anti-hipertensivo","Cãibras e contraturas musculares, estresse, problemas de sono, hipertensão arterial",NA se usado em doses de diluição segura,Álcoois 30% a 35%,,Cetonas 5%,Ésteres 45% a 50%,,,Terpenos 5%,,,,https://www.emporiolaszlo.com.br/media/catalog/pro…5d08d6e5fb8d27136e95/l/a/lavandim_grosso_foto.jpg
Alta,Limão,Citrus x limon,Rutaceae,"Antisséptico atmosférico e de contato, estomáquico, carminativo, fluidificante sanguíneo","Pequena insuficiência digestiva e hepática, doenças viróticas contagiosas, desinfecção do ar","Fotossensibilizante, se ingerido pode ter interação com medicamento anticoagulante",http://www.mulhersemphotoshop.com.br/wp-content/uploads/2013/09/Lim-C3-A3o-Congelado.jpg
Média,Majerona,Origanum majorana,Laminaceae,"Anti-infeccioso de largo espectro, antálgico, reequilibrante neurotônico, anti-hipertiroidiano","Reumatismo muscular, artrose, infecções respiratórias, infecções digestivas, hipertiroidismo, hipertensão arterial, dispneia, ansiedade",NA se usado em doses de diluição segura,Álcoois 45% a 50%,,,,,,Terpenos 35% a 40%,,,Sesquiterpenos 3%,https://assets.holyart.it/images/GR005007/it/1600/…016759/CLOSEUP01_HD/h-0ac77490/mirra-granello.jpg
Baixa,Mirra,Commiphora myrrha,Burseraceae,"Anti-inflamatório, calmante emocional, antivirótico","Úlceras varicosas, escaras, hipertiroidismo, diarréias, problemas de comportamento no final da vida",NA se usado em doses de diluição segura,,,Cetonas 5%,,,,,,Hidrocarboneto 5%,Sesquiterpenos 40%,http://biobotica.com.br/wp-content/uploads/2017/07/Sem-t%C3%ADtulo-1-1024x804.jpg
Baixa,Olíbano,Boswellia sacra,Burseraceae,"Antitumoral potencial, antálgico, anti-inflamatório, descongestionante","Dermatites, inflamações articulares e tendinosas, cânceres, elevação espiritual, meditação, depressão, melancolia",NA se usado em doses de diluição segura,,,,,,,Terpenos 60% a 70%,,,Sesquiterpenos 20%,http://www.blissoma.com/assets/images/palmarosa-web.jpg
Média,Palmarosa,Cymbopogon martini,Poaceae,"Anti-infeccioso de largo espectro, uterotônico, antálgico","Faringites, bronquites, dermatites infecciosas, cistites, vaginites, indução e estimulação parto",Contra indicado durante os primeiros 8 meses de gestação,Álcoois 80% a 90%,,,Ésteres 10% a 20%,,,,,,,https://davinawellness.com/wp-content/uploads/2016/09/Patchouli.jpg
Baixa,Patchouli,Pogostemon cablin,Laminaceae,"Descongestionante venoso, linfático e prostático, anti-inflamatório, cicatrizante, Antálgico, estrogênio-like potencial","Hemorroidas, prostatite, rosácea, dermatites inflamatórias",CA positivo para estrogenodependente,,,,,,,,,,"Sesquiterpenos 40% a 50% Sesquiterpenóis 40% a 50%",https://dannybia.com/blog/wp-content/uploads/2020/03/15ml-petitgrain-laranja-amarga-doterra-loja.jpg
Média,Pau-rosa,Aniba rosaeodora,Lauraceae,"Anti-infeccioso, bactericida, virucida, fungicida, tônico e estimulante geral, reenergizante","Infecções ORL e broncopulmonares, Infecções urogenitais, Insonia leve, excesso atividade intelectual, depressão nervosa ",NA se usado em doses de diluição segura,Álcoois 90%,,,,,,,,,,https://www.oleosessenciais.org/wp-content/uploads/sclarea02-950x1160.jpg
Alta,Petitgrain (laranja amarga),Citrus x aurantium,Rutaceae,"Reequilibrante nervoso e emocional, antiespasmodico, anti-inflamatório, analgésico","Espasmos, reumatismos, infecções e inflamações de pele, stress, agitação",NA se usado em doses de diluição segura,Álcoois 30% a 40%,,,Ésteres 50% a 70%,,,Terpenos 10%,,,,http://tisserandinstitute.org/wp-content/uploads/2…alum_album_Chandan_in_Hyderabad_AP_W_IMG_0023.jpg
Baixa,Salvia-esclaréia,Salvia sclarea,Laminaceae,"Estrogênio-like, linfotônico, calmante, relaxante, antitranspirante","Amenorreias, dismenorreias, síndrome de pré-menopausa, estases circulatórias, transpiração excessiva",CA positivo para estrogenodependente,Álcoois 15%,,,Ésteres 60% a 70%,,,Diterpenóis 5% a 10%,,,,https://www.mapleholistics.com/wp-content/uploads/2016/03/tea-tree-oil-plant-e1506330755708.png
Baixa,Sandalo,Santalum austrocaledonicum,Santalaceae,"Descongestionante venoso, linfático e tissular, anti-inflamatório, estrogênio-like potencial, tônico cardíaco","Estases circulatórias, congestão pélvica e prostática, fraqueza cardíaca",CA positivo para estrogenodependente,,,,,,,,,,"Sesquiterpenos 5%,Sesquiterpenóis 85%",https://artisan1-99ac.kxcdn.com/wp-content/uploads…lang-Complete-essential-oil-Artisan-Aromatics.jpg
Baixa,Tea Tree,Melaleuca Alternifolia,Myrtaceae,"Anti-infeccioso de largo espectro, imunomodulador, radioprotetor, antálgico, anti-inflamatório","Afecções bucodentárias, infecções da esfera ORL )otites, sinusites, faringites, amigdalites), infecções ginecológicas, esgotamento geral, prevenção de queimadura de radioterapia",NA se usado em doses de diluição segura,Álcoois 30% a 50%,,,,,Óxidos 5% a 10%,Terpenos 30%,,,Sesquiterpenos 5% 
Baixa,Vertiver,Chrysopogon zizanioides,Poaceae,"Descongestionante das vias circulatórias, analgésico, anti-inflamatório, imunoestimulante","Amenorreia, fraqueza imunológica, congestão prostática, urticária, prurido, vasculites",CA positivo para estrogenodependente,,,,Ésteres sesquiterpênicos,,,,,,"Sesquiterpenos 30% a 40% Sesquiterpenóis 20% a 30% Sesquiterpenonas"
Média,Ylang-Ylang,Cananga odorata,Annonaceae,"Morfina-like potencial, antiarrítmico, analgésico, calmante, relaxante, reequilibrante nervoso e sexual","Problemas de ritmo cardíaco, frigidez, bloqueios sexuais, dores profundas, dores cancerosas, acessos de tristeza, problemas de sono",NA se usado em doses de diluição segura,Álcoois 50% a 55%,,,Ésteres 15% a 20%,Metil-éter-fenóis 15%,,,,,